match_id,team_side,player_id,player_name,jersey_number,position,x,y
25-26-champions-league-arsenal-vs-inter,away,,D. Frattesi,13,M,57.9,32.3
25-26-champions-league-arsenal-vs-inter,away,,L. Henrique,43,M,55.5,19.5
25-26-champions-league-arsenal-vs-inter,away,,N. Barella,44,M,52.6,39.5
25-26-champions-league-arsenal-vs-inter,away,,F. P. Esposito,20,F,61.9,48.0
25-26-champions-league-arsenal-vs-inter,away,,Y. Sommer,46,G,9.9,50.9
25-26-champions-league-arsenal-vs-inter,away,404,Akanji,76,D,38.2,24.6
25-26-champions-league-arsenal-vs-inter,away,,A. Bonny,4,F,91.6,63.6
25-26-champions-league-arsenal-vs-inter,away,,A. Diouf,9,M,45.1,17.1
25-26-champions-league-arsenal-vs-inter,away,,M. Thuram,49,F,61.7,50.5
25-26-champions-league-arsenal-vs-inter,away,,F. Acerbi,108,D,33.1,60.1
25-26-champions-league-arsenal-vs-inter,away,,P. Zieliński,57,M,45.9,53.9
25-26-champions-league-arsenal-vs-inter,away,,A. Bastoni,83,D,38.0,76.7
25-26-champions-league-arsenal-vs-inter,away,,F. Dimarco,75,M,51.6,88.7
25-26-champions-league-arsenal-vs-inter,away,,P. Sučić,70,M,48.7,65.3
25-26-champions-league-arsenal-vs-inter,away,,L. Martínez,48,F,59.0,63.8
25-26-champions-league-arsenal-vs-inter,home,,G. Magalhaes,12,D,29.4,64.8
25-26-champions-league-arsenal-vs-inter,home,,B. White,11,D,49.6,11.6
25-26-champions-league-arsenal-vs-inter,home,266,Eze,28,M,57.2,60.7
25-26-champions-league-arsenal-vs-inter,home,21,Rice,28,M,58.1,72.5
25-26-champions-league-arsenal-vs-inter,home,,G. Jesus,40,F,62.9,40.5
25-26-champions-league-arsenal-vs-inter,home,20,Trossard,36,F,60.6,77.0
25-26-champions-league-arsenal-vs-inter,home,,D. Raya,58,G,11.7,48.8
25-26-champions-league-arsenal-vs-inter,home,666,Gyökeres,9,F,68.3,46.7
25-26-champions-league-arsenal-vs-inter,home,,M. Merino,71,M,53.5,43.6
25-26-champions-league-arsenal-vs-inter,home,,G. Martinelli,8,F,47.5,82.7
25-26-champions-league-arsenal-vs-inter,home,10,Lewis-Skelly,51,D,42.0,75.4
25-26-champions-league-arsenal-vs-inter,home,6,Saliba,78,D,36.5,28.6
25-26-champions-league-arsenal-vs-inter,home,8,J.Timber,57,D,57.3,15.2
25-26-champions-league-arsenal-vs-inter,home,,M. Zubimendi,84,M,48.5,50.3
25-26-champions-league-arsenal-vs-inter,home,662,Mosquera,70,D,34.6,53.4
25-26-champions-league-arsenal-vs-inter,home,16,Saka,69,F,73.4,21.1
