id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
3,Karl,Hein,Hein,u,Has joined Werder Bremen on loan for the rest of the season.,,4.0,662,53.0,0.2,360,52.0,0.0,493.0,66.0,0,0,0.0,0,0.0,0,170,0.0,0.0,0.0,0.0,0.0,563.0,71.0,0.0,0.0,552.0,71.0,546.0,60.0,511.0,45.0,557.0,71.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
703,Sam,Proctor,Proctor,a,,,3.9,750,89.0,0.6,230,31.0,0.0,463.0,51.0,0,0,0.0,-1,1.0,4376,2623,0.0,0.0,0.0,0.0,0.0,534.0,56.0,,,523.0,56.0,515.0,43.0,478.0,28.0,528.0,56.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5382.0,3217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Tommy,Setford,Setford,a,,,3.9,749,88.0,0.3,334,46.0,0.0,462.0,50.0,0,0,0.0,-1,1.0,824,814,0.0,0.0,0.5,1.0,0.0,533.0,55.0,,,522.0,55.0,514.0,42.0,477.0,27.0,527.0,55.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1062.0,1003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Gabriel,dos Santos Magalhães,Gabriel,a,,,6.6,48,1.0,27.1,13,4.0,5.0,36.0,10.0,9,1,-1.0,6,-6.0,566755,8810,0.8,16.1,5.5,6.0,7.6,2.0,1.0,100.0,100.0,37.0,16.0,260.0,78.0,124.0,20.0,107.0,33.0,,,,,,,,0.11,0.05,0.16,0.66,0.0,0.61,0.54,1.0,8.96,20,9,90.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,777318.0,10434.0,0.0,0.16999999999999993,0.010000000000000009,0.17999999999999994,1.4299999999999997,55.400000000000034,1.5,19.0,7.600000000000001,2.0,10.0,0.0,12.0
6,William,Saliba,Saliba,a,,,5.9,97,6.0,11.7,34,11.0,2.6,153.0,58.0,1,0,0.0,-1,1.0,22645,40399,0.4,9.2,3.1,3.6,3.4,133.0,50.0,100.0,100.0,154.0,66.0,307.0,101.0,340.0,114.0,261.0,88.0,,,,,,,,0.02,0.02,0.04,0.73,0.0,0.43,0.64,1.07,6.27,20,1,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,35143.0,47860.0,0.0,0.0,0.0,0.0,1.4299999999999997,16.799999999999983,0.8000000000000043,0.0,1.8000000000000043,4.0,4.0,3.0,8.0
89,Philip,Billing,Philip,u,Has joined Midtjylland permanently.,,4.9,287,179.0,0.0,654,268.0,0.0,705.0,299.0,0,0,0.0,-1,1.0,0,7,0.0,0.0,0.0,0.0,0.0,732.0,313.0,0.0,0.0,732.0,312.0,729.0,313.0,720.0,311.0,733.0,313.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,Václav,Hladký,Hladký,a,,,3.9,709,64.0,0.2,388,58.0,0.0,430.0,26.0,0,0,0.0,-1,1.0,218,353,0.0,0.0,0.0,0.0,0.0,503.0,32.0,,,492.0,32.0,483.0,18.0,445.0,3.0,497.0,32.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,Connor,Roberts,Roberts,i,Achilles injury - Unknown return date,,4.4,508,102.0,0.0,636,221.0,0.0,582.0,234.0,0,0,0.0,-1,1.0,10,30,0.0,0.0,0.0,0.0,0.0,633.0,243.0,0.0,0.0,623.0,243.0,620.0,244.0,593.0,241.0,627.0,244.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Kristoffer,Ajer,Ajer,a,,,4.4,507,101.0,0.2,391,142.0,3.4,97.0,34.0,3,0,0.0,-1,1.0,1076,347,0.8,9.1,3.4,3.4,2.9,192.0,77.0,100.0,100.0,186.0,76.0,341.0,118.0,164.0,32.0,239.0,79.0,,,,,,,,0.07,0.06,0.13,1.36,0.0,0.2,1.53,1.02,10.32,20,3,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1338.0,444.0,0.0,0.0,0.0,0.0,0.8499999999999996,20.799999999999983,0.3000000000000007,0.0,2.1000000000000014,1.0,10.0,4.0,11.0
130,Romelle,Donovan,Donovan,a,,,4.4,548,329.0,0.1,467,158.0,0.0,605.0,224.0,0,0,0.0,-1,1.0,157,261,0.0,0.0,0.0,0.0,0.0,653.0,254.0,,,646.0,247.0,642.0,250.0,618.0,240.0,650.0,250.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
