player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions
666,25-26-champions-league-atletico-madrid-vs-arsenal,83,2,0,3,0.85,0.01,3,0,1,3,26,8,0.0,1.0,0,0,0.0,0,0.0,0,0,2,0,3,2,0,4,5,4,0.0,0,0.0,4,1,0,0,0.0,0.0,0,0,0,1,0,0,0,0.0,0.0,2.11,0,0,83,0,0,0,0.0188,0.0055,0.0016,0.0037,0.0002,13.0,0.0
5,25-26-champions-league-atletico-madrid-vs-arsenal,72,1,1,3,0.5,0.01,1,0,1,2,58,42,0.0,1.0,4,0,0.0,2,0.0,0,0,0,1,3,2,1,3,1,1,0.0,2,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0.0,0.0,0.3,1,0,72,0,0,0,0.0185,0.0047,0.0015,0.0031,0.0,5.0,0.0
19,25-26-champions-league-atletico-madrid-vs-arsenal,90,1,0,2,0.14,0.1,1,1,0,5,44,16,0.0,2.0,1,0,0.0,0,0.0,0,3,8,0,0,0,0,3,7,2,0.0,1,0.0,1,1,0,0,0.0,0.0,0,0,0,,0,0,0,0.0,0.0,0.18,0,0,90,0,0,0,0.0188,0.0062,0.0018,0.0042,0.0002,16.0,0.0
10,25-26-champions-league-atletico-madrid-vs-arsenal,90,0,1,1,0.05,0.05,0,2,0,1,44,19,0.0,1.0,6,0,0.0,0,0.0,0,1,4,0,2,2,0,4,2,3,0.0,1,0.0,1,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0181,0.0058,0.0018,0.0039,0.0001,8.0,0.0
1,25-26-champions-league-atletico-madrid-vs-arsenal,90,0,0,0,0.0,0.0,0,0,0,0,30,16,0.0,0.0,4,0,0.0,3,0.0,0,0,5,0,1,0,0,1,1,1,0.0,0,0.0,0,0,1,0,0.11,0.11,1,16,3,,2,0,0,0.0,0.0,0.0,1,0,90,0,0,0,0.0151,0.0035,0.0024,0.0011,0.0,0.0,0.0
21,25-26-champions-league-atletico-madrid-vs-arsenal,90,0,1,1,0.12,0.23,0,0,1,2,63,45,0.0,2.0,11,2,0.0,6,0.0,0,1,2,1,1,0,0,2,3,2,0.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,0,90,0,0,0,0.0177,0.0068,0.0016,0.005,0.0,8.0,0.0
26,25-26-champions-league-atletico-madrid-vs-arsenal,73,0,0,0,0.0,0.62,0,1,0,0,56,41,0.0,3.0,5,1,0.0,2,0.0,0,2,2,0,3,2,0,3,2,3,0.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,,0,0,0,0.0,0.0,0.0,1,0,72,0,0,0,0.0176,0.0051,0.0013,0.0038,0.0,6.0,0.0
16,25-26-champions-league-atletico-madrid-vs-arsenal,90,0,0,5,0.33,0.03,1,2,1,9,54,26,0.0,0.0,2,0,0.0,2,0.0,0,3,5,0,1,0,1,3,6,3,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.18,1,0,90,0,0,0,0.0179,0.0061,0.0019,0.0041,0.0001,9.0,0.0
8,25-26-champions-league-atletico-madrid-vs-arsenal,83,0,0,1,0.03,0.05,1,1,0,4,63,40,0.0,2.0,12,0,0.0,0,0.0,0,0,3,0,1,0,0,3,5,3,0.0,0,0.0,0,3,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.01,2,0,83,0,0,0,0.017,0.005,0.0016,0.0033,0.0,5.0,0.0
266,25-26-champions-league-atletico-madrid-vs-arsenal,73,0,0,2,0.11,0.2,0,1,0,2,33,17,0.0,2.0,4,0,0.0,1,0.0,0,0,1,0,1,0,0,3,2,2,0.0,1,0.0,1,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,72,0,0,0,0.0171,0.005,0.0014,0.0036,0.0,5.0,0.0
