match_id,match_url,player_id,minutes_played,goals,assists,total_shots,xg,xa,xgot,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,tackles_won_percent,tackles,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,successful_dribbles_percent,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,high_claim,gk_accurate_long_balls,gk_accurate_passes,offsides
24-25-prem-tottenham-hotspur-vs-crystal-palace,/matches/tottenham-hotspur-vs-crystal-palace/2sxee8#4506581,650,90.0,0.0,0.0,1.0,0.3,0.13,0.0,1.0,0.0,1.0,4.0,49.0,36.0,90.0,1.0,3.0,0.0,,2.0,50.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,33.0,0.0,0.0,1.0,1.0,,,,,,,,,,
24-25-prem-tottenham-hotspur-vs-crystal-palace,/matches/tottenham-hotspur-vs-crystal-palace/2sxee8#4506581,499,90.0,0.0,0.0,2.0,0.39,0.0,0.0,0.0,0.0,1.0,2.0,30.0,14.0,78.0,0.0,0.0,0.0,,0.0,,3.0,100.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,7.0,3.0,4.0,80.0,3.0,60.0,1.0,0.0,,,,,,,,,,
24-25-prem-tottenham-hotspur-vs-crystal-palace,/matches/tottenham-hotspur-vs-crystal-palace/2sxee8#4506581,205,30.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,1.0,26.0,19.0,90.0,1.0,3.0,0.0,0.0,1.0,100.0,1.0,100.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,33.0,1.0,100.0,0.0,0.0,0.0,,,,,,,,,
24-25-prem-tottenham-hotspur-vs-crystal-palace,/matches/tottenham-hotspur-vs-crystal-palace/2sxee8#4506581,160,29.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,1.0,23.0,12.0,80.0,1.0,2.0,1.0,100.0,0.0,0.0,1.0,100.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,,,,,,,,,,
24-25-prem-tottenham-hotspur-vs-crystal-palace,/matches/tottenham-hotspur-vs-crystal-palace/2sxee8#4506581,489,90.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,41.0,22.0,71.0,0.0,5.0,0.0,0.0,1.0,20.0,1.0,50.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,40.0,0.0,0.0,0.0,3.0,,,,,,,,,,
24-25-prem-tottenham-hotspur-vs-crystal-palace,/matches/tottenham-hotspur-vs-crystal-palace/2sxee8#4506581,482,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,20.0,87.0,0.0,0.0,0.0,,0.0,,1.0,100.0,1.0,1.0,3.0,0.0,2.0,2.0,0.0,3.0,4.0,1.0,20.0,2.0,100.0,0.0,3.0,0.0,,,,,,,,,
24-25-prem-tottenham-hotspur-vs-crystal-palace,/matches/tottenham-hotspur-vs-crystal-palace/2sxee8#4506581,484,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,81.0,54.0,79.0,0.0,5.0,0.0,,0.0,0.0,1.0,50.0,2.0,0.0,4.0,2.0,7.0,2.0,0.0,7.0,7.0,3.0,60.0,4.0,44.0,1.0,2.0,,,,,,,,,,
24-25-prem-tottenham-hotspur-vs-crystal-palace,/matches/tottenham-hotspur-vs-crystal-palace/2sxee8#4506581,11,30.0,0.0,0.0,2.0,0.33,0.0,0.24,1.0,0.0,2.0,3.0,13.0,1.0,25.0,0.0,1.0,0.0,,0.0,,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,43.0,2.0,67.0,2.0,2.0,0.0,,,,,,,,,
24-25-prem-tottenham-hotspur-vs-crystal-palace,/matches/tottenham-hotspur-vs-crystal-palace/2sxee8#4506581,767,90.0,0.0,0.0,1.0,0.02,0.0,0.02,1.0,0.0,0.0,1.0,65.0,43.0,81.0,0.0,1.0,0.0,,1.0,20.0,0.0,0.0,1.0,0.0,2.0,2.0,5.0,5.0,1.0,5.0,2.0,3.0,60.0,2.0,100.0,2.0,0.0,,,,,,,,,,
24-25-prem-tottenham-hotspur-vs-crystal-palace,/matches/tottenham-hotspur-vs-crystal-palace/2sxee8#4506581,495,58.0,0.0,0.0,2.0,0.07,0.32,0.0,0.0,0.0,0.0,2.0,51.0,23.0,72.0,2.0,11.0,2.0,67.0,3.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,50.0,0.0,0.0,1.0,0.0,,,,,,,,,,
24-25-prem-tottenham-hotspur-vs-crystal-palace,/matches/tottenham-hotspur-vs-crystal-palace/2sxee8#4506581,480,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,10.0,71.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,33.0,0.0,1.0,,,,,,,,,,
24-25-prem-tottenham-hotspur-vs-crystal-palace,/matches/tottenham-hotspur-vs-crystal-palace/2sxee8#4506581,610,71.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,1.0,0.0,2.0,22.0,7.0,70.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,20.0,0.0,0.0,0.0,0.0,50.0,,,,,,,,,
24-25-prem-tottenham-hotspur-vs-crystal-palace,/matches/tottenham-hotspur-vs-crystal-palace/2sxee8#4506581,730,12.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,2.0,10.0,6.0,86.0,0.0,0.0,0.0,,0.0,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,33.0,0.0,0.0,0.0,1.0,,,,,,,,,,
24-25-prem-tottenham-hotspur-vs-crystal-palace,/matches/tottenham-hotspur-vs-crystal-palace/2sxee8#4506581,492,19.0,0.0,0.0,1.0,0.04,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,100.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
24-25-prem-tottenham-hotspur-vs-crystal-palace,/matches/tottenham-hotspur-vs-crystal-palace/2sxee8#4506581,612,90.0,0.0,0.0,1.0,0.03,0.02,0.0,0.0,0.0,0.0,2.0,40.0,21.0,91.0,0.0,1.0,0.0,0.0,1.0,100.0,1.0,33.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0,43.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
24-25-prem-tottenham-hotspur-vs-crystal-palace,/matches/tottenham-hotspur-vs-crystal-palace/2sxee8#4506581,503,32.0,0.0,0.0,1.0,0.18,0.01,0.0,0.0,0.0,0.0,4.0,11.0,6.0,75.0,0.0,1.0,0.0,,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
24-25-prem-tottenham-hotspur-vs-crystal-palace,/matches/tottenham-hotspur-vs-crystal-palace/2sxee8#4506581,645,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,100.0,0.0,0.0,0.0,,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-&-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,149,90.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,1.0,0.0,1.0,82.0,44.0,86.0,0.0,5.0,0.0,,1.0,50.0,5.0,56.0,9.0,1.0,3.0,0.0,6.0,5.0,0.0,14.0,5.0,11.0,85.0,3.0,50.0,2.0,1.0,100.0,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-&-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,146,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,15.0,58.0,0.0,7.0,0.0,,6.0,35.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,4.0,0.0,0.62,0.62,0.0,0.0,6.0,15.0,
24-25-prem-wolverhampton-wanderers-vs-brighton-&-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,533,90.0,0.0,0.0,1.0,0.02,0.04,0.02,1.0,5.0,0.0,6.0,81.0,41.0,91.0,2.0,3.0,0.0,0.0,0.0,,3.0,100.0,3.0,1.0,7.0,0.0,2.0,2.0,1.0,12.0,10.0,11.0,52.0,1.0,100.0,3.0,0.0,38.0,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-&-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,642,89.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,2.0,0.0,0.0,96.0,64.0,91.0,1.0,5.0,0.0,,3.0,75.0,5.0,63.0,8.0,3.0,11.0,0.0,3.0,0.0,1.0,11.0,7.0,11.0,61.0,0.0,0.0,1.0,1.0,67.0,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-&-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,148,90.0,1.0,0.0,1.0,0.79,0.01,0.79,1.0,0.0,0.0,3.0,44.0,30.0,97.0,1.0,0.0,0.0,,0.0,0.0,1.0,100.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,25.0,1.0,33.0,0.0,0.0,,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-&-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,122,90.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,1.0,69.0,41.0,89.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,50.0,2.0,2.0,4.0,1.0,8.0,5.0,0.0,6.0,2.0,4.0,67.0,2.0,100.0,2.0,2.0,,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-&-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,144,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,48.0,89.0,0.0,5.0,0.0,,2.0,33.0,1.0,100.0,1.0,0.0,2.0,0.0,6.0,4.0,0.0,2.0,0.0,2.0,100.0,0.0,0.0,1.0,0.0,,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-&-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,115,78.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,1.0,0.0,0.0,49.0,32.0,91.0,0.0,2.0,1.0,100.0,4.0,80.0,1.0,50.0,2.0,3.0,8.0,0.0,1.0,0.0,2.0,4.0,5.0,4.0,44.0,0.0,0.0,1.0,1.0,50.0,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-&-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,147,90.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,53.0,36.0,86.0,0.0,5.0,0.0,,1.0,20.0,1.0,100.0,1.0,4.0,6.0,0.0,4.0,2.0,1.0,1.0,4.0,1.0,33.0,0.0,0.0,0.0,1.0,,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-&-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,567,90.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,103.0,80.0,95.0,0.0,8.0,0.0,,4.0,67.0,3.0,75.0,4.0,1.0,4.0,0.0,8.0,4.0,2.0,5.0,4.0,4.0,57.0,1.0,50.0,0.0,0.0,0.0,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-&-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,600,89.0,0.0,0.0,1.0,0.03,0.01,0.0,0.0,1.0,0.0,1.0,49.0,32.0,86.0,0.0,4.0,0.0,,2.0,100.0,2.0,100.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,4.0,4.0,3.0,43.0,1.0,100.0,0.0,2.0,33.0,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-&-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,595,31.0,1.0,0.0,2.0,0.6,0.01,0.29,1.0,1.0,0.0,1.0,18.0,7.0,88.0,0.0,1.0,0.0,0.0,3.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,33.0,0.0,0.0,0.0,0.0,50.0,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-&-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,720,90.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,2.0,0.0,0.0,99.0,77.0,92.0,0.0,9.0,0.0,0.0,4.0,50.0,0.0,0.0,0.0,2.0,5.0,1.0,4.0,2.0,0.0,4.0,2.0,2.0,67.0,2.0,67.0,0.0,0.0,100.0,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-&-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,629,59.0,0.0,0.0,1.0,0.07,0.03,0.0,0.0,1.0,0.0,2.0,37.0,15.0,60.0,2.0,4.0,1.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,1.0,1.0,3.0,4.0,3.0,50.0,0.0,0.0,1.0,2.0,100.0,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-&-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,559,90.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,1.0,0.0,2.0,60.0,30.0,79.0,2.0,4.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,50.0,0.0,0.0,1.0,1.0,50.0,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-&-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,543,59.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,1.0,53.0,39.0,87.0,0.0,6.0,0.0,0.0,1.0,33.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,2.0,0.0,2.0,1.0,0.0,,2.0,67.0,0.0,0.0,,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-&-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,131,59.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,1.0,0.0,0.0,36.0,15.0,79.0,0.0,2.0,1.0,33.0,0.0,0.0,1.0,33.0,3.0,1.0,3.0,0.0,1.0,1.0,1.0,4.0,7.0,4.0,40.0,0.0,0.0,0.0,2.0,33.0,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-&-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,113,31.0,0.0,1.0,1.0,0.06,0.01,0.0,0.0,0.0,0.0,1.0,14.0,9.0,82.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-&-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,135,80.0,0.0,0.0,1.0,0.02,0.04,0.0,0.0,0.0,0.0,3.0,36.0,11.0,69.0,2.0,0.0,1.0,33.0,0.0,,2.0,100.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,33.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-&-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,136,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,16.0,7.0,88.0,0.0,2.0,0.0,,0.0,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,67.0,1.0,100.0,0.0,0.0,100.0,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-&-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,535,30.0,0.0,0.0,1.0,0.08,0.0,0.0,0.0,0.0,0.0,1.0,18.0,8.0,67.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,100.0,1.0,100.0,2.0,0.0,,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-&-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,714,12.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,9.0,7.0,100.0,0.0,1.0,0.0,,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-&-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,553,60.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,35.0,30.0,97.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,40.0,0.0,0.0,2.0,1.0,0.0,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-&-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,770,90.0,0.0,0.0,4.0,0.19,0.01,0.04,1.0,0.0,0.0,6.0,22.0,7.0,54.0,1.0,2.0,0.0,,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,50.0,2.0,50.0,0.0,2.0,,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-&-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,566,31.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,8.0,3.0,75.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-&-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,554,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,18.0,67.0,0.0,4.0,0.0,,5.0,36.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,1.0,100.0,0.0,0.0,,0.0,2.0,1.08,0.92,2.0,1.0,5.0,18.0,
24-25-prem-wolverhampton-wanderers-vs-brighton-&-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,563,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,7.0,88.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-&-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,565,31.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,32.0,18.0,72.0,0.0,4.0,0.0,,1.0,33.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-&-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,548,59.0,0.0,0.0,2.0,0.52,0.01,0.0,0.0,0.0,1.0,4.0,22.0,13.0,93.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,33.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-&-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,541,59.0,0.0,0.0,2.0,0.11,0.16,0.57,1.0,0.0,0.0,4.0,43.0,19.0,83.0,2.0,1.0,1.0,11.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,25.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-&-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,126,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,75.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-&-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,784,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,80.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,100.0,0.0,0.0,,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,149,90.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,1.0,0.0,1.0,82.0,44.0,86.0,0.0,5.0,0.0,,1.0,50.0,5.0,56.0,9.0,1.0,3.0,0.0,6.0,5.0,0.0,14.0,5.0,11.0,85.0,3.0,50.0,2.0,1.0,100.0,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,146,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,15.0,58.0,0.0,7.0,0.0,,6.0,35.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,4.0,0.0,0.62,0.62,0.0,0.0,6.0,15.0,
24-25-prem-wolverhampton-wanderers-vs-brighton-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,533,90.0,0.0,0.0,1.0,0.02,0.04,0.02,1.0,5.0,0.0,6.0,81.0,41.0,91.0,2.0,3.0,0.0,0.0,0.0,,3.0,100.0,3.0,1.0,7.0,0.0,2.0,2.0,1.0,12.0,10.0,11.0,52.0,1.0,100.0,3.0,0.0,38.0,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,642,89.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,2.0,0.0,0.0,96.0,64.0,91.0,1.0,5.0,0.0,,3.0,75.0,5.0,63.0,8.0,3.0,11.0,0.0,3.0,0.0,1.0,11.0,7.0,11.0,61.0,0.0,0.0,1.0,1.0,67.0,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,148,90.0,1.0,0.0,1.0,0.79,0.01,0.79,1.0,0.0,0.0,3.0,44.0,30.0,97.0,1.0,0.0,0.0,,0.0,0.0,1.0,100.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,25.0,1.0,33.0,0.0,0.0,,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,122,90.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,1.0,69.0,41.0,89.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,50.0,2.0,2.0,4.0,1.0,8.0,5.0,0.0,6.0,2.0,4.0,67.0,2.0,100.0,2.0,2.0,,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,144,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,48.0,89.0,0.0,5.0,0.0,,2.0,33.0,1.0,100.0,1.0,0.0,2.0,0.0,6.0,4.0,0.0,2.0,0.0,2.0,100.0,0.0,0.0,1.0,0.0,,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,115,78.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,1.0,0.0,0.0,49.0,32.0,91.0,0.0,2.0,1.0,100.0,4.0,80.0,1.0,50.0,2.0,3.0,8.0,0.0,1.0,0.0,2.0,4.0,5.0,4.0,44.0,0.0,0.0,1.0,1.0,50.0,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,147,90.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,53.0,36.0,86.0,0.0,5.0,0.0,,1.0,20.0,1.0,100.0,1.0,4.0,6.0,0.0,4.0,2.0,1.0,1.0,4.0,1.0,33.0,0.0,0.0,0.0,1.0,,,,,,,,,,
24-25-prem-wolverhampton-wanderers-vs-brighton-hove-albion,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4506582,567,90.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,103.0,80.0,95.0,0.0,8.0,0.0,,4.0,67.0,3.0,75.0,4.0,1.0,4.0,0.0,8.0,4.0,2.0,5.0,4.0,4.0,57.0,1.0,50.0,0.0,0.0,0.0,,,,,,,,,
