id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
33,Marco,Bizot,M.Bizot,a,,,4.2,619,32.0,0.4,268,35.0,0.4,329.0,24.0,0,0,0.0,-3,3.0,300,653,0.1,2.6,0.4,0.4,2.2,283.0,25.0,,,328.0,27.0,597.0,72.0,565.0,57.0,396.0,27.0,,,,,,,,0.0,0.0,0.0,1.9,2.89,0.22,1.78,0.89,0.0,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.0,776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Julian,Eyestone,Eyestone,a,,,3.9,758,86.0,0.1,440,67.0,0.0,455.0,50.0,0,0,0.0,-1,1.0,61,269,0.0,0.0,0.0,0.0,0.0,540.0,55.0,,,530.0,55.0,523.0,42.0,486.0,27.0,533.0,55.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
744,Nehemiah,Oriola,Oriola,a,,,4.5,463,282.0,0.0,705,299.0,0.0,643.0,247.0,0,0,0.0,0,0.0,33,59,0.0,0.2,0.0,0.0,1.0,452.0,206.0,,,697.0,284.0,693.0,285.0,674.0,278.0,698.0,285.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,Vitaly,Janelt,Janelt,a,,,4.9,299,186.0,0.3,294,97.0,5.6,14.0,6.0,1,0,0.0,-1,1.0,8020,2771,1.1,10.8,5.6,5.6,3.1,172.0,72.0,100.0,100.0,182.0,76.0,86.0,64.0,264.0,142.0,168.0,90.0,5.0,,,,,,,0.05,0.18,0.23,1.4,0.0,0.42,0.96,0.85,12.84,22,1,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,19.0,12156.0,3437.0,0.0,0.030000000000000027,0.20999999999999996,0.2400000000000002,1.5899999999999999,20.400000000000006,63.29999999999998,2.0,8.600000000000001,1.0,1.0,5.0,7.0
126,Mathias,Jensen,Jensen,a,,,4.9,302,188.0,0.1,499,175.0,2.0,204.0,86.0,2,0,0.0,-1,1.0,358,300,0.4,8.8,2.0,2.0,2.1,307.0,136.0,,,245.0,103.0,114.0,82.0,207.0,116.0,202.0,104.0,3.0,,5.0,,,,,0.13,0.22,0.35,1.42,0.0,0.42,1.16,1.05,8.22,22,2,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,432.0,430.0,0.0,0.4,0.31999999999999984,0.7200000000000002,1.5899999999999999,14.0,40.80000000000001,25.0,8.0,2.0,1.0,5.0,8.0
278,Jesurun,Rak-Sakyi,J.Rak-Sakyi,a,,,4.4,535,320.0,0.0,639,260.0,0.0,584.0,204.0,0,0,0.0,-1,1.0,53,16,0.0,0.0,0.0,0.0,0.0,648.0,248.0,100.0,100.0,639.0,240.0,637.0,245.0,612.0,234.0,642.0,242.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
413,Omar,Marmoush,Marmoush,a,,,8.3,12,7.0,2.3,120,40.0,0.0,799.0,359.0,0,0,0.0,-2,2.0,3274,1101,0.0,1.9,0.5,0.0,1.6,381.0,172.0,100.0,0.0,391.0,171.0,333.0,179.0,218.0,122.0,353.0,167.0,,1.0,2.0,,,,,0.55,0.2,0.75,1.09,0.0,0.0,1.32,0.88,7.06,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3286.0,1264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,Carlos,Alcaraz Durán,Alcaraz,a,,,5.2,217,135.0,0.1,484,169.0,0.6,321.0,144.0,0,0,0.0,-3,3.0,27,389,0.1,4.8,0.6,0.0,1.7,361.0,158.0,100.0,0.0,341.0,151.0,162.0,110.0,130.0,76.0,245.0,118.0,,,,,,,,0.14,0.06,0.2,1.78,0.0,0.41,1.1,0.82,8.23,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
779,Braiden,Graham,Graham,a,,,4.5,498,68.0,0.0,707,84.0,0.0,672.0,69.0,0,0,0.0,0,0.0,293,98,0.0,0.0,0.0,0.0,0.0,727.0,78.0,,,727.0,78.0,722.0,77.0,705.0,77.0,727.0,78.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,Luke,Shaw,Shaw,a,,,4.5,403,74.0,0.6,233,86.0,3.0,126.0,49.0,5,0,0.0,0,0.0,1928,3604,0.7,11.6,2.0,2.5,2.4,264.0,105.0,,,107.0,47.0,101.0,24.0,314.0,100.0,147.0,48.0,,,,,,,,0.0,0.06,0.06,1.2,0.0,0.19,1.37,1.04,5.75,22,5,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,18.0,2336.0,5412.0,0.0,0.0,0.050000000000000044,0.050000000000000044,0.4499999999999993,7.400000000000034,2.0999999999999943,2.0,1.2000000000000028,1.0,4.0,3.0,5.0
