player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions
321,25-26-efl-cup-bristol-city-vs-fulham,90,0,0,0,0.0,0.0,0,1,0,0,104,80,0.0,0.0,6,0,0.0,4,0.0,2,1,0,1,7,5,0,6,1,5,0.0,1,0.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,0,0.0,0.0,0.0,4,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
337,25-26-efl-cup-bristol-city-vs-fulham,69,1,0,1,0.18,0.01,1,0,0,2,21,9,0.0,0.0,2,0,0.0,1,0.0,1,0,2,0,0,0,1,4,5,1,0.0,3,0.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,1,0.0,0.0,0.34,1,0,69,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
82,25-26-efl-cup-brentford-vs-afc-bournemouth,45,0,0,0,0.0,0.09,0,1,0,2,35,19,0.0,2.0,2,0,0.0,0,0.0,1,0,1,0,0,0,0,2,8,2,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0,1,46,91,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
122,25-26-efl-cup-brentford-vs-afc-bournemouth,59,0,0,0,0.0,0.0,0,0,0,0,16,4,0.0,0.0,0,0,0.0,1,0.0,1,0,2,0,0,0,2,4,7,4,0.0,0,0.0,3,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,59,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
72,25-26-efl-cup-brentford-vs-afc-bournemouth,45,0,0,0,0.0,0.3,0,0,0,1,56,32,0.0,0.0,13,0,0.0,3,0.0,0,0,1,0,5,2,0,3,6,2,0.0,1,0.0,2,0,0,0,0.0,0.0,0,0,0,,0,0,0,0.0,0.0,0.0,0,46,91,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
97,25-26-efl-cup-brentford-vs-afc-bournemouth,24,0,0,4,0.74,0.0,2,0,1,5,11,2,0.0,0.0,1,0,0.0,0,0.0,0,0,2,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0.0,0.0,0.21,0,66,91,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
324,25-26-efl-cup-bristol-city-vs-fulham,26,0,0,1,0.05,0.03,0,1,0,2,16,11,0.0,1.0,2,0,0.0,0,0.0,0,1,1,0,1,1,0,1,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,64,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
328,25-26-efl-cup-bristol-city-vs-fulham,64,0,0,0,0.0,0.03,0,0,0,1,45,24,0.0,0.0,1,0,0.0,0,0.0,2,1,0,0,4,1,0,2,6,2,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0,2,0,64,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
335,25-26-efl-cup-bristol-city-vs-fulham,20,0,0,1,0.05,0.02,0,0,0,2,19,9,0.0,0.0,0,0,0.0,0,0.0,1,1,1,0,2,1,0,3,2,2,0.0,1,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0.0,0.0,0.0,2,70,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
120,25-26-efl-cup-brentford-vs-afc-bournemouth,59,0,0,0,0.0,0.02,0,0,0,2,27,6,0.0,0.0,1,0,0.0,0,0.0,1,1,1,0,3,2,0,4,11,2,0.0,2,0.0,0,3,0,0,0.0,0.0,0,0,0,2,0,0,0,0.0,0.0,0.0,2,0,59,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
77,25-26-efl-cup-brentford-vs-afc-bournemouth,90,0,0,4,0.44,0.09,0,0,1,7,88,57,0.0,2.0,12,0,0.0,1,0.0,0,1,1,0,6,4,0,12,2,1,0.0,11,0.0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,91,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
90,25-26-efl-cup-brentford-vs-afc-bournemouth,90,0,0,1,0.04,0.04,0,0,0,0,71,47,0.0,3.0,7,0,0.0,2,0.0,1,0,7,0,2,2,1,8,5,5,0.0,3,0.0,2,2,0,0,0.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0,3,0,91,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
100,25-26-efl-cup-brentford-vs-afc-bournemouth,66,0,0,2,0.09,0.0,1,1,0,2,13,3,0.0,0.0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,1,3,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0.0,0.0,0.04,0,0,66,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
67,25-26-efl-cup-brentford-vs-afc-bournemouth,90,0,0,0,0.0,0.0,0,0,0,0,28,23,0.0,0.0,2,0,0.0,3,0.0,0,0,4,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2,1.56,-0.44,0,23,3,0,0,0,0,0.0,0.0,0.0,0,0,91,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
129,25-26-efl-cup-brentford-vs-afc-bournemouth,4,0,0,0,0.0,0.0,0,0,0,0,2,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,86,91,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
128,25-26-efl-cup-brentford-vs-afc-bournemouth,86,0,1,2,0.14,0.03,0,0,0,1,50,26,0.0,1.0,4,0,0.0,2,0.0,2,1,10,0,2,1,1,9,4,5,0.0,4,0.0,2,2,0,0,0.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0,3,0,86,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
108,25-26-efl-cup-brentford-vs-afc-bournemouth,90,0,1,0,0.0,0.13,0,1,0,1,35,15,0.0,2.0,3,1,0.0,0,0.0,1,0,3,2,3,2,1,3,2,2,0.0,1,0.0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0,1,0,91,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
105,25-26-efl-cup-brentford-vs-afc-bournemouth,90,0,0,0,0.0,0.0,0,0,0,0,47,18,0.0,0.0,14,0,0.0,8,0.0,0,0,9,0,1,0,0,0,0,0,0.0,0,0.0,0,0,4,0,0.26,0.26,0,18,8,0,0,0,0,0.0,0.0,0.0,0,0,91,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
123,25-26-efl-cup-brentford-vs-afc-bournemouth,90,1,0,2,0.44,0.17,1,0,0,4,27,15,0.0,0.0,3,0,0.0,2,0.0,0,1,1,0,3,1,1,0,2,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,0,0.0,0.0,0.74,0,0,91,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
109,25-26-efl-cup-brentford-vs-afc-bournemouth,90,0,0,0,0.0,0.02,0,2,0,1,53,19,0.0,0.0,1,0,0.0,1,0.0,1,1,6,1,2,1,0,8,5,6,0.0,2,0.0,3,0,0,0,0.0,0.0,0,0,0,5,0,0,0,0.0,0.0,0.0,1,0,91,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
111,25-26-efl-cup-brentford-vs-afc-bournemouth,60,0,0,0,0.0,0.0,0,0,0,2,33,12,0.0,0.0,1,0,0.0,1,0.0,1,0,0,1,3,1,0,5,3,1,0.0,4,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,60,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
110,25-26-efl-cup-brentford-vs-afc-bournemouth,31,0,0,0,0.0,0.0,0,1,0,0,16,1,0.0,0.0,1,0,0.0,0,0.0,1,0,1,0,4,3,0,5,2,4,0.0,1,0.0,1,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,59,91,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
81,25-26-efl-cup-brentford-vs-afc-bournemouth,66,0,0,0,0.0,0.01,0,1,0,1,31,21,0.0,1.0,4,0,0.0,0,0.0,0,0,2,0,1,0,0,4,3,4,0.0,0,0.0,3,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,66,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
83,25-26-efl-cup-brentford-vs-afc-bournemouth,31,0,0,0,0.0,0.03,0,0,0,2,11,4,0.0,1.0,0,0,0.0,0,0.0,1,0,2,0,1,1,0,1,1,1,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,59,91,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
320,25-26-efl-cup-bristol-city-vs-fulham,90,0,0,0,0.0,0.0,0,0,0,0,97,81,0.0,0.0,3,0,0.0,5,0.0,0,1,3,0,7,5,0,4,1,0,0.0,4,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
326,25-26-efl-cup-bristol-city-vs-fulham,90,0,0,4,0.2,0.03,2,0,0,5,47,21,0.0,0.0,3,0,0.0,0,0.0,2,0,8,0,3,1,0,3,6,3,0.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,,0,0,0,0.0,0.0,0.71,2,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
329,25-26-efl-cup-bristol-city-vs-fulham,64,0,0,0,0.0,0.02,0,0,0,1,36,26,0.0,2.0,4,0,0.0,3,0.0,0,1,1,0,0,0,0,1,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,64,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
318,25-26-efl-cup-bristol-city-vs-fulham,26,0,0,0,0.0,0.0,0,1,0,0,28,15,0.0,0.0,1,0,0.0,1,0.0,2,0,3,0,1,1,0,3,0,3,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,64,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
338,25-26-efl-cup-bristol-city-vs-fulham,21,0,0,0,0.0,0.0,0,0,0,0,10,1,0.0,1.0,0,0,0.0,0,0.0,1,0,1,0,1,1,0,2,3,1,0.0,1,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0.0,0.0,0.0,1,69,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
332,25-26-efl-cup-bristol-city-vs-fulham,3,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,87,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
87,25-26-efl-cup-brentford-vs-afc-bournemouth,74,0,0,0,0.0,0.26,0,0,0,0,55,29,0.0,1.0,10,1,0.0,1,0.0,2,1,5,0,0,0,0,4,4,2,0.0,2,0.0,0,3,0,0,0.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0,2,0,74,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
697,25-26-efl-cup-brentford-vs-afc-bournemouth,90,0,0,1,0.03,0.01,0,1,0,0,49,28,0.0,1.0,2,0,0.0,1,0.0,0,1,5,0,0,0,3,6,9,5,0.0,1,0.0,2,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,0,91,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
85,25-26-efl-cup-brentford-vs-afc-bournemouth,16,0,0,0,0.0,0.01,0,0,0,0,19,16,0.0,0.0,3,0,0.0,1,0.0,1,0,0,0,0,0,0,2,1,2,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0,2,74,91,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
86,25-26-efl-cup-brentford-vs-afc-bournemouth,24,0,0,3,0.24,0.29,1,0,0,3,18,6,0.0,1.0,1,0,0.0,0,0.0,1,0,0,0,0,0,0,1,1,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.02,1,66,91,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
391,25-26-efl-cup-brentford-vs-afc-bournemouth,45,0,0,0,,,0,1,,,31,15,,0,,0,,2,,1,1,2,,1,,,,,,,,,0,1,0,0,,,,,,0,,,,,,,1,,,,,,,,,,,,
664,25-26-efl-cup-bristol-city-vs-fulham,90,0,0,0,,,0,0,,,58,45,,0,,0,,6,,0,0,5,,1,,,,,,,,,0,0,0,0,,,,,,0,,,,,,,0,,,,,,,,,,,,
