gameweek,kickoff_time,home_team,home_team_elo,home_score,away_score,away_team,away_team_elo,finished,match_id,match_url,home_possession,away_possession,home_expected_goals_xg,away_expected_goals_xg,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_big_chances,away_big_chances,home_big_chances_missed,away_big_chances_missed,home_accurate_passes,away_accurate_passes,home_accurate_passes_pct,away_accurate_passes_pct,home_fouls_committed,away_fouls_committed,home_corners,away_corners,home_xg_open_play,away_xg_open_play,home_xg_set_play,away_xg_set_play,home_non_penalty_xg,away_non_penalty_xg,home_xg_on_target_xgot,away_xg_on_target_xgot,home_shots_off_target,away_shots_off_target,home_blocked_shots,away_blocked_shots,home_hit_woodwork,away_hit_woodwork,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_passes,away_passes,home_own_half,away_own_half,home_opposition_half,away_opposition_half,home_accurate_long_balls,away_accurate_long_balls,home_accurate_long_balls_pct,away_accurate_long_balls_pct,home_accurate_crosses,away_accurate_crosses,home_accurate_crosses_pct,away_accurate_crosses_pct,home_throws,away_throws,home_touches_in_opposition_box,away_touches_in_opposition_box,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_tackles_won,away_tackles_won,home_tackles_won_pct,away_tackles_won_pct,home_interceptions,away_interceptions,home_blocks,away_blocks,home_clearances,away_clearances,home_keeper_saves,away_keeper_saves,home_duels_won,away_duels_won,home_ground_duels_won,away_ground_duels_won,home_ground_duels_won_pct,away_ground_duels_won_pct,home_aerial_duels_won,away_aerial_duels_won,home_aerial_duels_won_pct,away_aerial_duels_won_pct,home_successful_dribbles,away_successful_dribbles,home_successful_dribbles_pct,away_successful_dribbles_pct,fotmob_id,stats_processed,player_stats_processed,tournament
13.0,2025-11-29T15:00:00+00:00,56.0,1633.62,3.0,2.0,91.0,1817.7,True,25-26-prem-sunderland-vs-afc-bournemouth,/matches/sunderland-vs-afc-bournemouth/2fkehz#4813502,42.0,58.0,1.28,1.7,12.0,18.0,6.0,6.0,2.0,2.0,1.0,1.0,240.0,376.0,72.0,81.0,14.0,13.0,6.0,3.0,0.33,1.63,0.16,0.07,0.49,1.7,1.82,2.95,4.0,8.0,2.0,4.0,0.0,2.0,10.0,13.0,2.0,5.0,334.0,463.0,119.0,150.0,121.0,226.0,13.0,24.0,26.0,41.0,6.0,5.0,27.0,22.0,12.0,18.0,29.0,36.0,1.0,2.0,5.0,5.0,0.0,1.0,14.0,19.0,57,53,8.0,9.0,4.0,2.0,26.0,21.0,4.0,3.0,56.0,50.0,35.0,35.0,50.0,50.0,21.0,15.0,58.0,42.0,9.0,3.0,39.0,33.0,4813502.0,True,True,prem
13.0,2025-11-30T16:30:00+00:00,8.0,1912.06,1.0,1.0,3.0,2037.35,True,25-26-prem-chelsea-vs-arsenal,/matches/chelsea-vs-arsenal/2rhhrp#4813497,38.0,62.0,0.79,1.26,11.0,8.0,4.0,4.0,1.0,1.0,1.0,0.0,222.0,390.0,80.0,84.0,12.0,13.0,3.0,3.0,0.38,1.13,0.42,0.13,0.79,1.26,1.15,2.18,5.0,3.0,2.0,1.0,0.0,0.0,6.0,6.0,5.0,2.0,279.0,463.0,123.0,175.0,99.0,215.0,26.0,11.0,43.0,28.0,5.0,4.0,33.0,27.0,14.0,15.0,20.0,23.0,1.0,3.0,1.0,6.0,1.0,0.0,13.0,15.0,46,60,6.0,10.0,1.0,2.0,30.0,17.0,3.0,3.0,58.0,44.0,29.0,32.0,48.0,52.0,29.0,12.0,71.0,29.0,5.0,5.0,31.0,42.0,4813497.0,True,True,prem
13.0,2025-11-29T15:00:00+00:00,43.0,1956.28,3.0,2.0,2.0,1703.44,True,25-26-prem-manchester-city-vs-leeds-united,/matches/manchester-city-vs-leeds-united/2d8203#4813500,62.0,38.0,3.1,1.54,18.0,9.0,9.0,4.0,6.0,3.0,4.0,1.0,495.0,265.0,88.0,76.0,17.0,11.0,8.0,1.0,1.34,0.17,1.75,0.58,3.1,0.75,3.68,2.29,3.0,3.0,6.0,2.0,0.0,0.0,14.0,8.0,4.0,1.0,561.0,348.0,192.0,187.0,303.0,78.0,26.0,20.0,62.0,36.0,9.0,3.0,35.0,21.0,9.0,10.0,45.0,20.0,2.0,4.0,4.0,1.0,0.0,0.0,6.0,26.0,33,54,2.0,8.0,3.0,6.0,25.0,21.0,1.0,6.0,44.0,64.0,24.0,46.0,34.0,66.0,20.0,18.0,53.0,47.0,7.0,4.0,35.0,57.0,4813500.0,True,True,prem
13.0,2025-11-30T14:05:00+00:00,21.0,1729.46,0.0,2.0,14.0,1918.49,True,25-26-prem-west-ham-united-vs-liverpool,/matches/liverpool-vs-west-ham-united/2h59kq#4813504,44.0,56.0,0.29,1.24,7.0,9.0,0.0,5.0,0.0,3.0,0.0,2.0,303.0,445.0,80.0,86.0,12.0,14.0,7.0,2.0,0.23,1.02,0.07,0.22,0.29,1.24,0.0,1.63,2.0,4.0,5.0,0.0,0.0,0.0,4.0,5.0,3.0,4.0,380.0,515.0,129.0,241.0,174.0,204.0,16.0,19.0,34.0,48.0,2.0,2.0,8.0,20.0,14.0,23.0,11.0,20.0,2.0,1.0,1.0,0.0,1.0,0.0,13.0,11.0,69,64,9.0,4.0,0.0,5.0,21.0,29.0,3.0,0.0,41.0,44.0,31.0,28.0,53.0,47.0,10.0,16.0,38.0,62.0,5.0,6.0,56.0,46.0,4813504.0,True,True,prem
13.0,2025-11-29T17:30:00+00:00,11.0,1801.13,1.0,4.0,4.0,1855.71,True,25-26-prem-everton-vs-newcastle-united,/matches/everton-vs-newcastle-united/2yo9qd#4813499,49.0,51.0,0.99,1.91,10.0,13.0,2.0,8.0,1.0,5.0,0.0,2.0,458.0,485.0,88.0,88.0,4.0,6.0,8.0,7.0,0.68,1.35,0.31,0.55,0.99,1.91,0.89,2.77,6.0,1.0,2.0,4.0,1.0,1.0,7.0,10.0,3.0,3.0,520.0,553.0,166.0,268.0,292.0,217.0,30.0,20.0,59.0,56.0,5.0,7.0,20.0,41.0,14.0,18.0,31.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,16.0,63,100,9.0,3.0,5.0,2.0,19.0,30.0,3.0,1.0,46.0,41.0,29.0,23.0,56.0,44.0,17.0,18.0,49.0,51.0,4.0,5.0,33.0,33.0,4813499.0,True,True,prem
13.0,2025-11-30T12:00:00+00:00,31.0,1841.87,1.0,2.0,1.0,1811.29,True,25-26-prem-crystal-palace-vs-manchester-united,/matches/crystal-palace-vs-manchester-united/3c42bz#4813498,44.0,56.0,1.83,1.19,14.0,14.0,3.0,6.0,3.0,2.0,2.0,2.0,244.0,352.0,72.0,79.0,14.0,14.0,4.0,4.0,0.69,0.21,0.35,0.98,1.04,1.19,1.07,1.3,6.0,8.0,5.0,0.0,0.0,0.0,11.0,8.0,3.0,6.0,339.0,443.0,127.0,183.0,117.0,169.0,16.0,27.0,26.0,47.0,4.0,3.0,24.0,17.0,14.0,23.0,26.0,18.0,3.0,0.0,3.0,2.0,0.0,0.0,14.0,16.0,64,38,7.0,10.0,0.0,5.0,44.0,31.0,4.0,2.0,53.0,61.0,30.0,34.0,47.0,53.0,23.0,27.0,46.0,54.0,2.0,5.0,25.0,38.0,4813498.0,True,True,prem
13.0,2025-11-30T14:05:00+00:00,7.0,1879.55,1.0,0.0,39.0,1662.71,True,25-26-prem-aston-villa-vs-wolverhampton-wanderers,/matches/wolverhampton-wanderers-vs-aston-villa/2xtwe7#4813495,52.0,48.0,0.94,0.49,16.0,9.0,6.0,4.0,0.0,1.0,0.0,1.0,401.0,369.0,87.0,87.0,13.0,21.0,7.0,3.0,0.67,0.22,0.27,0.27,0.94,0.49,1.17,0.98,6.0,2.0,4.0,3.0,1.0,1.0,9.0,7.0,7.0,2.0,461.0,423.0,150.0,176.0,251.0,193.0,14.0,22.0,48.0,49.0,5.0,5.0,24.0,28.0,13.0,10.0,28.0,20.0,0.0,2.0,0.0,4.0,0.0,0.0,16.0,22.0,56,50,4.0,6.0,3.0,4.0,26.0,28.0,4.0,5.0,59.0,55.0,42.0,42.0,50.0,50.0,17.0,13.0,57.0,43.0,7.0,7.0,44.0,44.0,4813495.0,True,True,prem
13.0,2025-11-29T15:00:00+00:00,94.0,1810.51,3.0,1.0,90.0,1709.13,True,25-26-prem-brentford-vs-burnley,/matches/burnley-vs-brentford/2pu6rd#4813496,52.0,48.0,3.06,0.95,14.0,6.0,4.0,2.0,6.0,1.0,3.0,0.0,321.0,263.0,79.0,69.0,7.0,7.0,5.0,6.0,1.44,0.04,0.84,0.12,2.27,0.16,2.15,0.96,9.0,1.0,1.0,3.0,0.0,0.0,11.0,2.0,3.0,4.0,406.0,379.0,156.0,159.0,165.0,104.0,19.0,20.0,45.0,25.0,5.0,1.0,21.0,7.0,23.0,21.0,35.0,13.0,3.0,1.0,0.0,2.0,0.0,0.0,9.0,26.0,89,69,11.0,7.0,3.0,1.0,51.0,37.0,1.0,1.0,52.0,51.0,22.0,35.0,39.0,61.0,30.0,16.0,65.0,35.0,7.0,2.0,41.0,25.0,4813496.0,True,True,prem
13.0,2025-11-29T20:00:00+00:00,6.0,1809.21,1.0,2.0,54.0,1770.13,True,25-26-prem-tottenham-hotspur-vs-fulham,/matches/tottenham-hotspur-vs-fulham/2tici0#4813503,63.0,37.0,0.86,0.45,14.0,7.0,2.0,3.0,3.0,0.0,3.0,0.0,439.0,241.0,87.0,75.0,11.0,7.0,8.0,2.0,0.57,0.41,0.3,0.04,0.86,0.45,0.46,1.08,6.0,1.0,6.0,3.0,0.0,1.0,10.0,3.0,4.0,4.0,507.0,320.0,218.0,167.0,221.0,74.0,21.0,21.0,51.0,36.0,6.0,1.0,15.0,17.0,26.0,23.0,27.0,15.0,3.0,4.0,3.0,2.0,0.0,0.0,14.0,29.0,50,55,13.0,9.0,3.0,7.0,18.0,47.0,1.0,0.0,49.0,61.0,25.0,44.0,36.0,64.0,24.0,17.0,59.0,41.0,7.0,5.0,37.0,50.0,4813503.0,True,True,prem
13.0,2025-11-30T14:05:00+00:00,17.0,1777.99,0.0,2.0,36.0,1840.19,True,25-26-prem-nottingham-forest-vs-brighton-hove-albion,/matches/nottingham-forest-vs-brighton-hove-albion/3fzdi8#4813501,52.0,48.0,0.89,2.0,19.0,17.0,3.0,6.0,1.0,4.0,1.0,2.0,409.0,392.0,83.0,82.0,11.0,10.0,9.0,2.0,0.55,1.34,0.34,0.66,0.89,2.0,0.4,1.73,6.0,5.0,10.0,6.0,0.0,0.0,13.0,11.0,6.0,6.0,492.0,476.0,198.0,250.0,211.0,142.0,29.0,26.0,49.0,41.0,8.0,3.0,24.0,60.0,14.0,16.0,35.0,28.0,1.0,0.0,0.0,1.0,0.0,0.0,22.0,19.0,64,68,7.0,13.0,7.0,8.0,19.0,37.0,3.0,3.0,62.0,48.0,49.0,35.0,58.0,42.0,13.0,13.0,50.0,50.0,17.0,6.0,61.0,38.0,4813501.0,True,True,prem
