gameweek,kickoff_time,home_team,home_team_elo,home_score,away_score,away_team,away_team_elo,finished,match_id,match_url,home_possession,away_possession,home_expected_goals_xg,away_expected_goals_xg,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_big_chances,away_big_chances,home_big_chances_missed,away_big_chances_missed,home_accurate_passes,away_accurate_passes,home_accurate_passes_pct,away_accurate_passes_pct,home_fouls_committed,away_fouls_committed,home_corners,away_corners,home_xg_open_play,away_xg_open_play,home_xg_set_play,away_xg_set_play,home_non_penalty_xg,away_non_penalty_xg,home_xg_on_target_xgot,away_xg_on_target_xgot,home_shots_off_target,away_shots_off_target,home_blocked_shots,away_blocked_shots,home_hit_woodwork,away_hit_woodwork,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_passes,away_passes,home_own_half,away_own_half,home_opposition_half,away_opposition_half,home_accurate_long_balls,away_accurate_long_balls,home_accurate_long_balls_pct,away_accurate_long_balls_pct,home_accurate_crosses,away_accurate_crosses,home_accurate_crosses_pct,away_accurate_crosses_pct,home_throws,away_throws,home_touches_in_opposition_box,away_touches_in_opposition_box,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_tackles_won,away_tackles_won,home_tackles_won_pct,away_tackles_won_pct,home_interceptions,away_interceptions,home_blocks,away_blocks,home_clearances,away_clearances,home_keeper_saves,away_keeper_saves,home_duels_won,away_duels_won,home_ground_duels_won,away_ground_duels_won,home_ground_duels_won_pct,away_ground_duels_won_pct,home_aerial_duels_won,away_aerial_duels_won,home_aerial_duels_won_pct,away_aerial_duels_won_pct,home_successful_dribbles,away_successful_dribbles,home_successful_dribbles_pct,away_successful_dribbles_pct,fotmob_id,stats_processed,player_stats_processed,home_distance_covered,away_distance_covered,home_walking_distance,away_walking_distance,home_running_distance,away_running_distance,home_sprinting_distance,away_sprinting_distance,home_number_of_sprints,away_number_of_sprints,home_top_speed,away_top_speed,tournament
26,,43.0,1967.73,,,54.0,1784.41,False,25-26-prem-manchester-city-vs-fulham,/matches/manchester-city-vs-fulham/2s32rr#4813630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813630.0,False,False,,,,,,,,,,,,,prem
26,,94.0,1801.44,,,3.0,1997.85,False,25-26-prem-brentford-vs-arsenal,/matches/arsenal-vs-brentford/389pak#4813626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813626.0,False,False,,,,,,,,,,,,,prem
26,,17.0,1812.68,,,39.0,1727.95,False,25-26-prem-nottingham-forest-vs-wolverhampton-wanderers,/matches/wolverhampton-wanderers-vs-nottingham-forest/2xa4gh#4813631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813631.0,False,False,,,,,,,,,,,,,prem
26,,7.0,1871.26,,,36.0,1824.42,False,25-26-prem-aston-villa-vs-brighton-hove-albion,/matches/brighton-hove-albion-vs-aston-villa/3gku1s#4813625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813625.0,False,False,,,,,,,,,,,,,prem
26,,56.0,1567.96,,,14.0,1997.49,False,25-26-prem-sunderland-vs-liverpool,/matches/sunderland-vs-liverpool/2fa48t#4813632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813632.0,False,False,,,,,,,,,,,,,prem
26,,6.0,1783.92,,,4.0,1870.11,False,25-26-prem-tottenham-hotspur-vs-newcastle-united,/matches/tottenham-hotspur-vs-newcastle-united/2xr2ka#4813633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813633.0,False,False,,,,,,,,,,,,,prem
26,,21.0,1729.25,,,1.0,1794.93,False,25-26-prem-west-ham-united-vs-manchester-united,/matches/west-ham-united-vs-manchester-united/2yi6pt#4813634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813634.0,False,False,,,,,,,,,,,,,prem
26,,8.0,1899.56,,,2.0,1731.2,False,25-26-prem-chelsea-vs-leeds-united,/matches/chelsea-vs-leeds-united/2d7oy4#4813627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813627.0,False,False,,,,,,,,,,,,,prem
26,,31.0,1838.23,,,90.0,1719.66,False,25-26-prem-crystal-palace-vs-burnley,/matches/burnley-vs-crystal-palace/2on6r7#4813628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813628.0,False,False,,,,,,,,,,,,,prem
26,,11.0,1785.12,,,91.0,1804.0,False,25-26-prem-everton-vs-afc-bournemouth,/matches/everton-vs-afc-bournemouth/2hkv2h#4813629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813629.0,False,False,,,,,,,,,,,,,prem
